,prompt
909,"EXCELLENT TRIP TO THE SPA!!!!! 

A trip to the Aji Spa (located at the Sheraton Wildhorse Pass Resort and Spa) was at the top of my list during my recent trip to Arizona on Memorial Day Weekend. We made our reservations well in advance. Having gone to a few spa resorts, I couldn't wait to pay this one a visit. 

My cousin and I were each booked for the Little Yellow Bird spa package, which was comprised of 2 services each. We arrived about 15 minutes prior to our appointment time and was given a tour of the spa. After changing in the women's locker room, and relaxing in the private women's lounge area (there's a large lounge area, but it's co-ed), our masseuses met us and brought us into our room. My cousin and I decided for our first service to be the Companion Massage. After only having solo massages, I was interested how a companion massage differed. The 50 minute Aji Massage flew by. My masseuse was professional and the massage given was very comfortable, relaxing and beneficial. 

After our massages were completed, we had some time in between our next service, feeling a little hungry, we decided to grab some lunch from the spa's cafe. I ordered the flatbread pizza and it was TO DIE FOR! Seeded flatbread topped off with a garlic peppery aioli, grilled chicken pieces, pesto sauce, marinated bell peppers, melted cheese and avocado. My visit was a month and a half ago and my memory, a little fuzzy, but that was one of the best lunches I've had in a long time!! 

After lunch sometime, we each were up for our second service, our facials!!! Due to my skin type, I received the Aji Rain Facial. My esthetician was wonderful! Her hands were soft and gentle while working on my face and we had some lovely conversation during the 50 minute procedure. I left that room with my face feeling renewed, clean and fresh!

All spa treatments include full use of the spa's facilities so we definitely made well use of that! After our facials, we used the sauna (the steam room was out of service during our visit) and whirlpools located on the women's locker side. We then relaxed and lounged by the outside pool. The Aji Spa is such a calm, warm and relaxing environment that I ended up taking a nap! Outside! In desert heat! Thank goodness for the wooden awning with misters attached and the huge patio umbrellas providing shade! The staff at the spa provided excellent service! From the front desk, to our masseuse, the esthetician, the cafe staff and the locker room attendant! While napping, one of the staff from the cafe even brought us iced water with lemon and cucumber slices in it!

Our appointment started at 12pm and with our 2 procedures, and lunch, we should have been done and out of there within a few hours. But the point of visiting the spa was to relax, and with Aji Spa being such a lovely place, we just didn't want to leave!  We finally left nearly 8 hours after our arrival, and we would have stayed longer if we could! 

I highly recommend Aji Spa to anyone visiting the Phoenix area, or if you're looking for a new spa to travel to! Aji Spa is a beautiful spa with excellent staff and service. They even emailed me the same day of my service as a ""Thank You"" for visiting and included a discount coupon on my next visit! A 5-star spa, indeed!

###

"
910,"Thomas was very welcoming and a great server/bartender. Came in close to close and still gave us ample time to enjoy our late night date. My lady and i's date night are few and far between so to be able to have a experience like tonight is very appreciated. Kudos Thomas and citizen!

###

"
911,"Appears to be CLOSED.

Phone number not in service. Went by last week & was all locked up with a realtor sign on the building.

###

"
912,"great sports bar. TV's galore. Good food. Outside patio. While many places claim to be sports bars, for some reason they wind up not paying attention to the TV's and wind up with hair removal infomercials playing.

This place knows what they are doing with the tv's. I was watching the manager who looked like had a spreadsheet with every game planned out and on what tv's. They also play the sound from the premier game.

###

"
913,"Probably the best mall I've ever been to. Anchored by five mega stores - Nordstrom, Nieman Marcus, Macy's, Dillards and Barneys New York. It's so big, it took a couple of hours just to walk it.

My wife called it the best mall she's ever been too. Nuff said.

###

"
914,"Went here about two months ago and am only now getting around to reviewing it. I think that should stand for something in terms of my experience there.

The service was ridiculous. If one is going to charge the prices they charge for regular Americanized asian food... at LEAST make sure the menus you hand people are clean. Or your plates for that matter. Or silverware. Seriously! Did EVERYTHING have to be covered in grit or a mysterious sticky substance?

Next up... the menu. Not everyone eats meat. How about a little more choices for us who prefer tofu over dead animal?

I ordered the Coconut Curry Vegetables. Bland bland bland. I've had more flavor out of an unseasoned packet of ramen. And would it kill them to actually put some tofu on the plate?

I guess I just don't understand the hype. The prices are ridiculous for the quality received. You're better off going to some little hole in the wall place where the food actually tastes like food and not reheated leftovers.

###

"
915,"Rare find in the East Valley! 
Cute Cupcakes and the place definitely has character!

I ate a coconut cupcake with sprinkled coconut and glitter on top. I only bought one cupcake and took it hope to share with my 3 roommates. It made me wish I had more cupcakes to share with the rest of them! We took our forks and gulped it down. 

The pink frosting was delicious and melted right in our mouth. The cupcake itself was very rich and moist. They must have substituted milk for the water while baking it, I could tell, so moist and mouth watering. 

I will be coming back here to eat for breakfast and lunch. Its a great place to study.

###

"
916,"I unashamedly adore this place.  And it's not b/c I spend gobs of money here... it is b/c I don't have to drive and zig zag all over the Valley to sample (and decide if I like) many of our infamous local food offerings...

Essence's macaroons from Tempe, Tammie Coe cupcakes and MJ's breads (what I always look fwd to) from CenPho, growing selecting of gelatos from all the places you read about... it's a one stop sample shop (ok, you pay for it), and a place I always hit when I'm up in N. Scottsdale.

The $5 cheese boxes are great, a mini variety of 3 cheese in their to-go section is a great way to try new cheeses w/out risk.

###

"
917,"This place gets it right from the moment you walk in the door. Signed baseballs jerseys and bats by legends on the wall, a friendly host to greet you and when you sit down they ask if you want free chopped liver. It comes with bits of egg and onion, warm rye bread and bagel chips. 

Our waiter, Jeff, was friendly and attentive, even lending us his flashlight to read an old newspaper story in the rafters. The cream of mushroom soup made from scratch was superb. Our mains were baby back ribs, the specialty of the house, cooked perfectly with a flavorful sauce. The 'broasted' chicken was to die for: moist and juicy with a crispy outer skin. The fries were piping hot, as they should be. And the portions are beyond generous.

We topped it off with key lime pie, light and tasty, an ideal complement to the meaty mains. And the bill was under $60, an amazing deal. As a bonus, some of the players drop in during spring training.

###

"
918,"Yelpers prove to be right yet again with the average 3 stars on this one... 

I was craving sushi and had a hot date with my sister-in-law last night to do dinner and a movie... It just so happened that Eat Pray Love was playing at the Tempe Marketplace Harkins Theater, so we decided to meet at Kabuki before the movie.  

I walked in first and asked how long the wait was for two... I as told 10 or 15 minutes.  Not so bad... so I decided to wait.  I walked outside and met up with my Alexa and we came back in about ten minutes later... As we did so, two other women came in and I saw that they were seated right away.  I looked at Alexa, looked up at the hostess stand, was thinking (WTF), and then went and asked nicely where we were on the list.  

""There are two tables before you,"" I was told.  ""It will likely be another ten minutes or so."" 

At that, I responded, ""is there another option, perhaps sushi bar, that I don't know about?""

And alas, there sure was... (they neglected to give me that option when I originally checked-in).  We were seated at the sushi bar at that moment and went on to have a very underwhelming meal.  Here's why:

-While the large portion cucumber salads we ordered were extremely tasty, the cucumbers were cut lengthwise in such a way that it was difficult to eat.  I prefer cucumbers diced in smaller pieces so they are easier to eat!

-Service - our waiter wasn't the friendliest... I felt kind of rushed by him when we were there.  Additionally, since we were seated in the middle of the sushi bar, all of the wait staff would reach over us to pick up the sushi for their tables, which was very distracting while we were eating!  Perhaps they could've moved the sushi ready for pick-up to the side of the sushi bar to avoid distracting guests in the future?

-The sushi itself was good; not amazing.  We had a Sunset roll, a Lotus roll, a Large roll, and an order of Ikura.  I didn't realize the Lotus roll was going to have a ton of mayo along with the baked Lobster that came on top of it... it was a bit on the creamy side for my liking.

-To top things off, when the bill came, they overcharged us... a simple mistake, but given our experience, it was just one more negative thing... and then when I pointed it out, I barely got an apology at all.

With so many other restaurants to choose from in the Tempe Marketplace, I am not sure I'll return to Kabuki.  If I do, however, I will wait for a regular table!

###

"
919,"I was not impressed. For a business traveler, there are better choices nearby. 
When I drove up, the valet told me there was no self park, but I could see it less than 100 yards away from my room. I used it during my stay, and it was convenient and much less expensive. 
The entry of the hotel was constantly blocked by party goers, and I couldn't find any alternate entrance/exit. 
My bill was wrong at checkout. They adjusted it, but then mysteriously placed an additional unauthorized charge of $13.94 on my credit card. 
Seriously wishing I opted for Embassy Suites across the road...

###

"
920,"What vegetarian goes to a place like Logan's Roadhouse? The kind that will sacrifice herself for the sake of her people because she drove all the way from San Diego to AZ at midnight and had no kind of sleep, but still managed to get there and say, ""Hey, I'm taking all you fools out to dinner, my treat, where do you want to go???""

And, they picked this place. Oh woe is me. 

If you've been to Texas Roadhouse, then you've been to Logan's Roadhouse. I'm pretty sure it's the same damn place. Peanut shells on the floor, MEAT and potatoes galore, and loud people everywhere--Which is fine, because my people are very loud. 

The overloaded mashed potatoes was a hit, I was pissed that they were out of onion petals, and our waitress seemed really confused. But, she was nice, so I can't really talk too much crap. 

As long as everyone in my party had a good time, I'm happy.

###

"
921,"I don't usually review based on one visit.  But when the experience and food is as bad as this, I'll make an exception...

This place gets two stars for the multiple big screen TVs.  If you're here strictly to watch sports and have a beer or three,  you'll be fairly happy.  However, I came here for a bite to eat, and that's when there where I ran into problems.

The bartenders are a disgruntled lot.  Their sour mood when I sat down set the tone for my whole experience here.  They're not all bad.  One of the male bartenders actually smiled occasionally and chatted with some of  the customers.

The food.  How can you screw up cole slaw?  What more can I say? 

Beyond that, if you're in the area to watch a game, this isn't a bad choice.  Just swing by McDonald's or somewhere else for dinner.

###

"
922,"stopped here on our way home on a road trip.  if i had known, i would've stopped on the way out, too.  the bear name drew me in (and the assumption that a diner would have chocolate malts).  

the food was fantastic.  boyfriend ordered ""bob's big bear burger"" and it was probably the biggest hamburger i've seen in person.  apparently it was delicious (how he ate the whole thing, i will never know).  i ordered some sort of burger basket combo, featuring a much smaller cheeseburger (which was delicious), hearty portion of fries (which were ok), and the chocolate malt was only $2.99 (instead of $4.50-ish)  with the combo.  And it was one of the best chocolate malts I've ever had.  And the prices were reasonable.  And I actually loved the kitschy bear theme.  Can't wait for another trip that takes me through Phoenix (and I never thought I would say that).

###

"
923,"This was my first trip to Culver's and it came highly recommended. At my friends suggestion, I tried the butter burger deluxe, fried cheese curd and the.....I forgot what it was called, but the frozen custard - basically the equivalent of a DQ Blizzard.
The burger patties were paper thin (thus the reason I ordered the double), the lettuce was crisp, tomatoes fresh, bun soft and buttery. I thoroughly enjoyed my burger. Very flavorful!
I had never had fried cheese curd and had no idea what to expect. The closest thing I can think to compare these to would be mozzarella sticks. They are about the size of a grape, and full of salty cheesy goodness.
The custard was delicious! I had the vanilla with butterscotch and oreos (I ordered butterscotch and brownie pieces, but there was a mixup, but I had no complaints).
I really loved everything I had. The menu is big and I can't wait to go next time so I can try something new. 
The thing I didn't like was the bible verses all over the walls.
Seriously?? It's not that I am anti-religion or anything. I am Catholic, went to Brophy and go to church twice a year. I don't need it thrown in my face while trying to eat with my friends. take a tip from In and Out. Put them on the under side of your cups. Work on your subtlety Culver's.

###

"
924,"Again, I'm trying to mix things up again on my end, and since Gold Bar was packed with no seating, I decided to go elsewhere and get my internet and coffee on.  This place is a little out of the way for me, but they offer free wifi, have great hours and serve donuts!!!!!  Hooray for donuts!

The place is small.  Counter seating only and its limited.  Parking is adaquet, and considering its a Sunday afternoon, an open seat is always a sight to see.

Service here is fine, and their donut selection is decent considering how late in the day it is for these guys. I don't go to Dunkin Donuts often, but thier always there when I need them.  I love the free wifi too!  hooray!

The one downside to this whole thing??  ITS FREEZING IN HERE.  I feel like I'm in a morgue its so dam cold.  

Anyways, I will be back!!

###

"
925,"If you need fake nunchuks, old china, random golf clubs, and a great selection of clothes to sort through, then this is your savers.

###

"
926,"AZ 88 was a great experience all around. It's a fun, hip and hopping place. They have an excellent bar selection, and although all I can only personally speak for is the to-die-for burgundy burger, there were four us and everyone was raving about their meals.

###

"
927,"we come here about once a week. the soup in a bread bowl is yummy- i usually get a wildflower salad with the pesto vinegarette, which is amazing! their grain mustard is also amazing and the service is usually very good. the clientele can be interesting so it is a good place to people watch :)

###

"
928,"The ""chicken burger"" with jerk sauce was gross. It was dried out with terrible flavor. The only saving grace was that it was small, which says enough right there. As another reviewed said, it was a ground chicken patty when I was expecting a grilled chicken breast after going to places like Johnny Rockets where I believe they have a similarly named section of the menu that refers to chicken breast sandwiches. I realize I have myself to blame on that misunderstanding, but it was still a terrible sandwich.

###

"
929,"Don't get Breonna as your server. Didn't ask if we wanted another drink after we decided to stick to appetizers. She didn't appear to know where the water was or remembered we were at one of her tables. Food was good as always.

###

"
930,"Everything here just seemed so very dry to me.  Like it was mass prepared a few days ago and they reheat it, put sauce on it and serve it.  The sushi felt the same way somehow.

###

"
931,"I've been to China Magic Noodle many times over the years; it's one of my husband's favorite places to eat. The employees are friendly and prompt to provide service.

I always get #34 (Beef, Noodles, w/XO sauce) or the #27 (Seafood Noodle Soup) and love both. The noodles plates are big; unless you are a big eater, expect to take some home. The mango smoothie w/boba is also delicious; you can taste the fruit and know it's fresh.

I agree w/some of the other reviewers regarding the smell - this place definitely has a ""smell"" to it, who knows what it is - but it's not a disgusting/offensive smell. Overall the place is clean, the service is good, and the food is great!

###

"
932,"Another indoor (two-story) Westcor Mall that has gone through a few minor changes over the years (updating the restrooms in the Food Court area, adding Dick's as another anchor store, adding the kid's play area, etc...). It's also seen many big and small Retailers come and go too.

When this mall opened back in 1994, Robinsons-May was the ONLY store open before the rest of the mall. There were empty fields in the surrounding areas and orange grooves in other parts. It's hard to believe, but the ONLY restaurant open at the time in the area was Applebee's across the street.

Fast forward to today, the Mall still attracts shoppers from all over, since it's the ONLY indoor mall in the West Valley (not counting Desert Sky Mall-don't go there!).

Anchor stores: Macy's, Forever 21 (in the former Mervyn's building), Dick's Sporting Goods, JC Penny's, Sears (formally Montgomery Wards), and Dillards.

AMC Movie Theater is located inside the mall.

Besides the Food Court, there is a Chevy's, Johnny Rockets, and Miracle Mile Deli.

Some newer Retailers include: Sephora, Coach, Disney Store (they came back!), Apple, Swaroski, and J. Jill. The mall stays pretty full of Retailers, once in awhile, there are a couple of empty stores, but not for very long.

This is still a popular family friendly mall to visit and shop. Westcor keeps it updated and clean.

###

"
933,"I'm gonna have to hide this review from my girlfriend who is from Wisconsin and a big Brewer fan. To be honest, this is my least favorite stadium to go to because of its location and just overall mediocre atmosphere. It has an outfield grass area, but it is kinda boring. Maryvale is a no frills ballpark, so if you are going to a Spring Training game to actually watch some baseball, this is the stadium for you. If you want to go for the game, the scene and overall experience, I'd recommend a stadium in Scottsdale. For what it's worth, a friend of mine says this is his favorite Spring Training stadium, but frankly I think he feels that way since it was the one stadium he actually played in while in college. I personally like to go to a game and then head over to some bars or restaurants, but at this stadium I check out the game and then get the hell outta there!

###

"
934,"I wish that this place were not so good - I have not been able to drink the coffee at my office in weeks.  The location that One Coffee occupies used to be a coffee shop graveyard.  Several coffee houses went out of business in this location, unable to compete with Starbucks.  One Coffee has bucked that trend and it is not hard to see why.  One Coffee has great coffee and it is amazingly consistent.  The staff is always friendly.  This place is certainly doing something right; everytime I go in there it has more and more customers.

###

"
935,"I love the other locations of Thai Rama and this one is no exception! Food is fast, fresh tasting and well seasoned. The lunch specials are unique and delicious, and the service is good. Far superior to the Char's Thai restaurant that used to be in the same location.

###

"
936,"I visited this location a few months ago for the first time, and returned for my second visit the very next day. 
I got their standard chicken and waffle plate on my first visit, and just chicken and macaroni the next day.
Both visits were pleasant and the food was delicious.
My only criticism is that the waffles I got were a bit on the thin side. I've had chicken and waffles from many different soul food places all over the US and in comparison LoLo's waffles were just okay. The chicken on the other hand was A+. It was tender and juicy and well fried.
I see myself coming back here again.

###

"
937,"Very unpleasant experience. Creepy male doctor. Uncaring. And no help.

I went to this Urgent Care with a swollen ankle so painful that I was nauseous, dizzy and having vision problems. The doctor interrogated me and advised me to get my head examined. I'm not kidding. 

Mom was right: good doctors don't advertise. This place actually solicits Yelp reviews.

###

"
938,"To quote my boyfriend, we like this place because ""they're solid."" Every time we order here, the food is great and fresh. I always get their sweet and sour chicken and I am never disappointed. Instead of chicken chunks coated in batter, this place uses a chicken breast with batter that I would describe to be a thin tempura like batter. There is no excess batter or fat chunks to deal with it. The service is fast and we see the same waiter every time we eat here. This is the my go to place for Chinese food.

###

"
939,"By far the best taco shop in the valley. Their rolled tacos are delicious. I've had them dozens of time and they never disappoint. The restaurant is older and what you'd expect of a normal ""taco shop"", but it is very clean and the staff is always very friendly. They also have the best red hot sauce I've tasted yet. Yuuuuuuum.

###

"
940,"Long-time fans of the Mill Ave location...we finally made it out to the original (I think this was the original, anyways).  

Overall, pretty darn good.  

The food is on par with the tempe location.  The pastas were delicious - I really liked the Boa Bowtie pasta.   

Wines were solid and complimented the meal nicely.

As with the Tempe location, the best part for us is always the Shrimp Adriatica appetizer.  We could just eat a big bowl of that with bread.  The sauce is amazing, the shrimp is well cooked.  The only downside was that it was just regular french bread (or similar) - the tempe location has the fancier, tastier varieties of fresh baked bread.  But the quality of shrimp and sauce was the same.  

Service was slow at first (we went late on a Sat night as they were slowing down), but was friendly, made great recommendations and were very helpful overall.  By the end of the meal, I had forgotten about the slow start.  Think we just walked in at an awkward time, which as I said, they really made up for by the end of the meal.  

Also, the warm butter cake was decadent.  Maybe not as good as Mastro's butter cake, but it's on the way there.  Really tasty, very fresh.  I could have used some fresh whipped cream or a little vanilla ice cream to go with it, but that's a personal thing.  

On a side note - the Zinfandel they are currently offering (think it was like $6-7/glass) is fantastic.  I was impressed at the quality compared to the price.  

We'll definitely be back.

###

"
941,"If you are over 24 you are too old to be here.  

First, this place has beer.  Don't order mixed drinks, don't order wine, both are gross unless your sole purpose is to get trashed, which is the mission of every underage and young, young 20-something at this bar.

This is the place you'd go to with your fake ID because when you're 19 this is what you think a bar should be.

Expect people over drinking and throwing up very early on in the evening in the bathroom.

###

"
942,"I really wanted to fall madly in love with this place, I mean, a British themed pub in Heritage Square? So promising. 

As you walk in, the bartender is standing behind in an elaborate wooden bar structure. This made me think publican instead of bartender (as in ""Mate, I'll take a pint and d'ya have any rooms available?""), which is probably the idea. As there was nice selection of draught beers, we walked around to the bar to the right and ordered a couple of pints. I ordered a Boddingtons, my friend ordered a Stateside micro brew. (Would have been nice if they had Old Peculiar on tap, but you can't have everything.) 

Due to the combination of things cooking in the kitchen, it smelled a bit like my grandma's house. This prompted us to make a beeline for the patio decorated with super-heavy wood furniture. I assume this is to discourage thieves from selling their tables and chairs on the black market. Smart. The piped-in music selection that night was a bit off-putting, in fact, one of the other patrons commented on it as well. It appeared to be a satellite radio station that specialized in 80s hits like Wham! and Depeche Mode. I guess George Michael and David Gahan ARE British. Indeed! Wikipedia just informed me that ""Dave Gahan (born May 9, 1962 in Epping, Essex, England) is the baritone lead singer for the English electronic band Depeche Mode, and is also an accomplished solo artist."" Now I feel better. 

There are many cozy nooks in this place, so that would be a good thing if you wanted to have some one-on-one time. They were also playing football (soccer) on the flat screens, so should make some team scarf-wearing Brit ex-pats in the Valley very happy.

Will I be back to try the food? Probably at some point. But, for another round of drinks, I think I'll wait for a Friday or Saturday night when it's hopping.

###

"
943,"This is a brand new delicatessen who's grand opening was September 24th 2008.  Since I don't have a kitchen in my place, this re-heat one-stop shop near my neighborhood will be a place I plan to frequent via walking.  

They have a cute cook book lounge and the deli layout is fun to just paroose.  Their chocolate chip cookies taste home made.  So nice to still feel like you have some input in the cooking preparation process when you live with just a microwave.

###

"
944,"Until they get their quality under control, we won't eat here except for lunch. We ate here last weekend and both had the roasted chicken. The problem was it tasted like it was basted in cinnamon and the sauce for the risotto had at least 10 whole peppercorns on each of our plates. I actually bit into to one before I realized that the sauce was just crawling with them. They could've strained them out, processed them in, whatever, just don't serve me a plate with a bunch of whole peppercorns. This tasted NOTHING like the previous visit when I ordered the same exact dish. When we finally let the management know that our food was unacceptable, he said the best he could do was a 20% discount. Well. we  weren't looking for a free or discounted meal, but rather some acknowledgement that they actually cared about the food. That never happened. Unless something changes, the burgers are decent and that is about it.

###

"
945,"The Valley Beer Drinkers Meetup Group has been coming here for months - since before the name change - on occasional Wednesdays for $3 craft pints & the fantastic wings special. We've always had a good experience, and the extensive, rotating brew selection keeps the venue fresh.

I've been urging the owner to add at least ONE Pilsner to the IPA-heavy menu, and last night he delivered with a quintessential model: Munchener Spaten Pils! It was great.

Adding to the experience was the excellent food. Portions were generous and satisfying!. One member ordered the Fish & Onion Rings, and when it arrived, two others immediately ordered their own! I can't remember better fish (pollack here) or more perfect onion rings! Homemade potato chips were remarkable, and the fry cook definitely knows the craft! Diners have many options for sides w/ entrees, which is a generous touch. Only the cole slaw was a bit bland. 

Service was friendly & generally good, but not attentive enough later in the meal. Thanks for separate checks, too.

I really look forward to returning for brews and to further explore the enticing menu!

###

"
946,"This is a fun POOL party club in Scottsdale next to everyone's favorite, American Junkie. I have never eaten here, other than a dessert that I don't remember. ;) It can also be a fun place for after dinner drinks or dance. The ambiance of relaxing and drinking next to a pool always brings about a good time. The music is LOUD and the bartenders are nice. Their bathrooms are clean and pretty. 

Spanish Fly rages during the daytime summer weekends, and is a great place to hang out when you still want to enjoy the outdoors and it's blazing hot outside. I will be going back - glad to have you in Scottsdale, Spanish Fly.

###

"
947,"The democratic party of Arizona consists of a nice group of  people. I visited their office several years ago with some questions and they were quite helpful.

###

"
948,"Hipster hangout you can drag the kids along and not feel bad about it.

The place is setup like a house and the first time you go it is for sure confusing.  Do I sit down or go to the counter or bar or what.. Its kind of a free for all.  I have been a few times and still feel a little awkward when I walk in.  The hot chocolate is great and the egg sandwich tasty.  The mac and cheese for evening is also really good.  
The service is ok, but not overly helpful or friendly.
The place is dripping with kids too cool for school, businessmen, and families... so a great spot to hit up if you are in downtown phx

###

"
949,"This is a great MMA gym.  Instructors are profesional, the facility is clean, and they work well with all experience levels.

###

"
950,"Yumm yumm yumm!   The burgers are fantastic and yummy!

The service has always been top notch, fast and freindly.
Love the inside and outside environment.    Could do without the TVs with sports playing on them...don't we get enough plugged in entertainment in our lives already?....but I'm probably in the minority.

Kid friendly for those well behaved kids of course. :)

###

"
951,"Yes, I've had better.

The chai lattes are pretty good, but not worth $4.50 for a large(which was a grande cup size at starbucks).  Prices are just the same as Starbucks, if not more.  And they have a credit card surcharge for less than $5 spent.  I still don't agree with that at any place I go too.  I liked the local artwork displayed.  But not impressed.  If the prices were lower, then I could see coming here more often.

###

"
952,"Perfect for a Quick lunch. And I mean seriously quick. Like ninja light speed fast. 

Under two minutes consistently from order to table. How can you beat that! One time they clock-in at 1min 45sec for a table of five. 

My favorites are the House Special Chicken, the Orange chicken and the Prawns. can't go wrong and you will leave stuffed and satisfied.

###

"
953,"MAN BUZZ! The breakfast buzz is the ultimate meat head drink. I mean espresso protein and smoothie all in one? Can't beat it! 

I have had many things on the menu here and all good. The bowls are awesome the breakfast club is out of this world and the veggie wrap add chicken(come on gotta do it!) is also awesome. Great drink selection, if you like Arnold Palmers ask for the Tiger Woods the next time you go in. E

Atmosphere is super laid back with a great stay. This is the only thing to warn you about it can take some time if you don't call ahead but its worth it!

###

"
954,"I have to admit, the reason I gave this place 4 stars instead of 3 is a) I want it to stay in business (which can be hard on Mill these days!) and b) It's one of the few places on Mill where you can bring your child without feeling like you may get heckled. ;) lol Now, I definately enjoy a night out without the babes too, but this is a place I go for happy hour with my husband and daughter. The beer/wine is good, the food is good (I like the southwestern egg roll apps), the price is good, the service is good, and the atmosphere is nice (thought I was going to say good, huh?). We love to sit on the patio and people watch.

###

"
955,"I try and eat here regularly. Hummus is great. Very personable staff. And the atmosphere is awesome. Look forward to the next time!

###

"
956,"This store is too busy. Don't get me wrong, I love my Mac more than anything but the service at this store is god-awful. Luckily before purchasing my Mac I researched until I knew exactly what I wanted. I seemed to know more than the associate that helped me! Purchasing it was more of an awkward affair - I couldn't wait to get out of there. 

Also, it's always almost impossible to get into the Genius Bar. My iPod malfunctioned sometime earlier this year and after waiting in the store for 45 minutes to be seen, I was only informed that the damages were more in depth than they thought and I would need to schedule an appointment. It's just an iPod, people! The experience itself was more than frustrating. I stick with Amazon on this one.

###

"
957,"I really like Bandera.  I really LOVE their cornbread.  Best dang cornbread I've ever had.  I dream about it in fact.  Food is always great, service is usually great as well.  Great place to take guests if you're not sure what they like.

My only complaint...Bandera is a fairly casual restaurant, yet last time I was there my father was asked to remove his cap.  No biggie, he willingly obliged, but then I noticed the staff didn't seem to have a problem with the cute little thing wearing hers at the next table.  Come on, be consistent guys.

###

"
958,"Small, but well stocked.  All of the Japanese basics are here.  It's nice to have a local Japanese grocer and not have to resort to an Asian-Mega-Mart.  There's not a lot of fresh produce, but great frozen and dry goods options.  I'll have to try the prepared food sometime.  They were sold out for the day by the time I went in the afternoon.

###

"
959,"I love this store.  The produce is always fresh, they have an interesting selection of frozen items including some great appetizers, the meat department is outstanding - I've tried a few different kabobs from here (spicy kabob rocks), bakery is great, nice selection of hard to find dairy items like fig yogurt, fair cheese selection including a local fresh burrata and mozzarella that will knock your socks off, excellent selection of wines and craft beer, and a floral department that has exquisite arrangements.

Aside from the above, they make great sandwiches, have a nice salad bar, have different take out dinners available every night, have a pasta night and will make you a fantastic iced tea or an iced latte that rivals any chain.  They also have an awesome grill - they will make you a kobe blue cheese burger that is out of this world.  The hot dogs are delicious but they are gigantic (and a little unsettling to look at).

One piece of advice before you go, not everything turns over quickly so check the dates.

###

"
960,"I'm not sure why it has taken me so long to actually go inside Go-Kat-Go, but I finally did and loved it!  This store is filled with all sorts of great retro Hawaiian treasures along with a plethora of other gems.  We've got locally designed clothing in one corner, awesome furniture in another, tons of handmade accessories in the middle and bunches of fun throughout!  It was really hard not to pick up everything in this store and buy it.  The owner was really nice and offered to hold our stuff while we shopped.  I ended up walking out of there with an awesome Dia de los Muertos pillow that looks amazing on my new couch plus a matching potholder/oven mitt set in a really cool pattern.  I will definitely be back, especially since my other mom's b-day is coming up and she loves this kind of stuff.

###

"
961,"I was really looking forward to eating here this morning when I got to the restaurant and found that everything was super clean and nice looking. I had been drinking all night and it was time for some breakfast. 

They had a great selection of hot tea. The people in my party got quite a few things and everything came in heaping portions. The French toast is the super thick kind and very fluffy. They also proved that they can really cook eggs well. They also brought lots of coffee and hot water for all of us.

I also go their chicken tortilla soup and it was AMAZING.

The service was super fantastic! I will definitely come here again. :)

###

"
962,"Went for dinner on a Sat. night. I made reservations 1 week in advance and when my friend and I arrived to check in for our table, we were handed a pager and told we could go STAND in the bar area seeing as how there was no place to sit and have a cocktail. Not real sure why I bothered to make the reservation. About 40 min later we were taken to our table where there was NO ONE else seated at first for the Teppan cooking.Kind of a bummer. About another half and hour and more people were seated. It's only about 10 pm now and my friend is literally starving. The bar area is a joke. Maybe I just don't go to Scottsdale often enough but are these people serious?? There were maybe 4 guys under 25. The rest were in their mid to late 40's. The women were about the same age probably but wore outfits like they thought we wouldn't know how old they were if we just focused on the sparkly sequined shirt and puffy skirts. Or as my friend said, are these ladies re-living prom night or what?? Anyway, food OF COURSE is so over priced and where you think you might get 4 of an appetizer, you get 2. Nothing real special about this place. Once you look beyond the decor and focus on the ""scene"", service and food-Thanks, I will go to Hon Machi!!

###

"
963,"This is the best library in the Valley and one of my favorite places to study.  The interior design, water fall, glass elevators and many other features make this the perfect metropolitan library for our downtown. 

The top level is pretty quiet and has beautiful views of the city.  Quick Tip: It seems that the southern part of the building is hotter because of the sun so I always sit on the north part of the building.

###

"
964,"Ride the bulls gals and put on a show :) Just wear pants, please!! Fun spot to get drunk and do kinky things with cotton candy! Great happy hour specials!

Extremely generous bartenders and huge portions of food. Well worth the money!!

###

"
965,"I've been boycotting this store since 2009.  One afternoon after browsing for a while with my kids, I allowed my 10yo and 8yo to stay in the children's section to pick out a book to spend their allowance money on while I ran next door to TJ Maxx to buy the toddler a pair of shoes.  I'd been gone 30 minutes when I returned to find the horrid lady in the children's section had called the police on us.  She never asked the kids  their ages and didn't ask if they had a way to reach me (they did).  The police talked to them, realized they were perfectly well behaved consumers, and assured me I'd done nothing illegal.  Avoid like the plague.

###

"
966,"Went here one night with a group of friends. This place is pink, crowded, and really not that impressive. I ordered some sorbet and it was bland - that in itself is an accomplishment - bland sorbet.  The 50's style booth seats were very uncomfortable (maybe to discourage staying long?) and the tables were the wrong height for eating. I had to strain to get above face level of my food (and i'm a normal sized woman) It was also very very (very) loud in here.

I'll avoid going here again. The quality of the product was just too poor - I'd rather hit up a Whole Foods and get some good sorbet without the discomfort and echoing nosie.

###

"
